Model,MSE,MAE,R2 Score
Linear Regression,1847708880.2094502,30010.201299679742,0.7491650558581819
Random Forest,86606223.19145161,3345.5236628318585,0.9882428084915093
XGBoost,625723648.0,14873.787109375,0.9150551557540894
